country,area,code,density,"median_age","population_2019","population_2020","urban_percentage"
Jamaica,10830,388,273,31,"2948.28","2961.16",55
Japan,364555,392,347,48,"126860.30","126476.46",92
Jordan,88780,400,115,24,"10101.70","10203.14",91
Kazakhstan,2699700,398,7,31,"18551.43","18776.71",58
Kenya,569140,404,94,20,"52573.97","53771.30",28
Kiribati,810,296,147,23,"117.61","119.45",57
Kuwait,17820,414,240,37,"4207.08","4270.56",
Kyrgyzstan,191800,417,34,26,"6415.85","6524.19",36
"LATIN AMERICA AND THE CARIBBEAN",,1830,,,"648120.96","653962.33",
Laos,230800,418,32,24,"7169.46","7275.56",36
Latvia,62200,428,30,44,"1906.74","1886.20",69
Lebanon,10230,422,667,30,"6855.71","6825.44",78
Lesotho,30360,426,71,24,"2125.27","2142.25",31
Liberia,96320,430,53,19,"4937.37","5057.68",53
Libya,1759540,434,4,29,"6777.45","6871.29",78
Liechtenstein,160,438,238,,"38.02","38.14",15
Lithuania,62674,440,43,45,"2759.63","2722.29",71
Luxembourg,2590,442,242,40,"615.73","625.98",88
Macao,30,446,"21,645",39,"640.45","649.34",
Madagascar,581795,450,48,20,"26969.31","27691.02",39
Malawi,94280,454,203,18,"18628.75","19129.96",18
Malaysia,328550,458,99,30,"31949.79","32366.00",78
Maldives,300,462,"1,802",30,"530.96","540.54",35
Mali,1220190,466,17,16,"19658.02","20250.83",44
Malta,320,470,"1,380",43,"440.38","441.54",93
"Marshall Islands",180,584,329,,"58.79","59.19",70
Martinique,1060,474,354,47,"375.56","375.27",92
Mauritania,1030700,478,5,20,"4525.70","4649.66",57
Mauritius,2030,480,626,37,"1269.67","1271.77",41
Mayotte,375,175,728,20,"266.15","272.81",46
Melanesia,,928,,,"10918.53","11122.99",
Mexico,1943950,484,66,29,"127575.53","128932.75",84
Micronesia,700,954,164,24,"543.48","548.93",21
"Micronesia (Fed. States of)",,583,,,"113.81","115.02",
Moldova,32850,498,123,38,"4043.26","4033.96",43
Monaco,1,492,"26,337",,"38.97","39.24",
Mongolia,1553560,496,2,28,"3225.17","3278.29",67
Montenegro,13450,499,47,39,"627.99","628.06",68
Montserrat,100,500,50,,"4.99","5.00",10
Morocco,446300,504,83,30,"36471.77","36910.56",64
Mozambique,786380,508,40,18,"30366.04","31255.44",38
Myanmar,653290,104,83,29,"54045.42","54409.79",31
"NORTHERN AFRICA AND WESTERN ASIA",,1833,,,"517105.56","525869.28",
"NORTHERN AMERICA",,918,,,"366600.94","368869.64",
Namibia,823290,516,3,22,"2494.52","2540.92",55
Nauru,20,520,541,,"10.76","10.83",
Nepal,143350,524,203,25,"28608.72","29136.81",21
Netherlands,33720,528,508,43,"17097.12","17134.87",92
"New Caledonia",18280,540,16,34,"282.76","285.49",72
"New Zealand",263310,554,18,38,"4783.06","4822.23",87
Nicaragua,120340,558,55,26,"6545.50","6624.55",57
Niger,1266700,562,19,15,"23310.72","24206.64",17
Nigeria,910770,566,226,18,"200963.60","206139.59",52
Niue,260,570,6,,"1.61","1.62",46
"North Korea",120410,408,214,35,"25666.16","25778.82",63
"North Macedonia",25220,807,83,39,"2083.46","2083.38",59
"Northern Africa",,912,,,"241780.77","246232.51",
"Northern Europe",,924,,,"105768.53","106261.27",
"Northern Mariana Islands",460,580,125,,"57.21","57.56",88
Norway,365268,578,15,40,"5378.86","5421.24",83
"OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)",,1835,,,"12141.79","12355.70",
Oman,309500,512,16,31,"4974.99","5106.62",87
Pakistan,770880,586,287,23,"216565.32","220892.33",35
Palau,460,585,39,,"18.00","18.09",
Panama,74340,591,58,30,"4246.44","4314.77",68
"Papua New Guinea",452860,598,20,22,"8776.12","8947.03",13
Paraguay,397300,600,18,26,"7044.64","7132.53",62
Peru,1280000,604,26,31,"32510.46","32971.85",79
Philippines,298170,608,368,26,"108116.62","109581.09",47
Poland,306230,616,124,42,"37887.77","37846.61",60
Polynesia,,957,,,"679.77","683.78",
Portugal,91590,620,111,46,"10226.18","10196.71",66
"Puerto Rico",8870,630,323,44,"2933.40","2860.84",
Qatar,11610,634,248,32,"2832.07","2881.06",96
Romania,230170,642,84,43,"19364.56","19237.68",55
"Russian Federation",16376870,643,9,40,"145872.26","145934.46",74
Rwanda,24670,646,525,20,"12626.94","12952.21",18
"Réunion",2500,638,358,36,"888.93","895.31",100
"Saint Barthelemy",21,652,470,,"9.85","9.89",0
"Saint Helena",390,654,16,,"6.06","6.07",27
"Saint Kitts & Nevis",260,659,205,,"52.83","53.19",33
"Saint Lucia",610,662,301,34,"182.80","183.63",19
"Saint Martin",53,663,730,,"38.00","38.66",0
"Saint Pierre & Miquelon",230,666,25,,"5.82","5.80",100
Samoa,2830,882,70,22,"197.09","198.41",18
"San Marino",60,674,566,,"33.86","33.94",97
"Sao Tome & Principe",960,678,228,19,"215.05","219.16",74
"Saudi Arabia",2149690,682,16,32,"34268.53","34813.87",84
Senegal,192530,686,87,19,"16296.36","16743.93",49
Serbia,87460,688,100,42,"8772.23","8737.37",56
Seychelles,460,690,214,34,"97.74","98.34",56
"Sierra Leone",72180,694,111,19,"7813.21","7976.99",43
Singapore,700,702,"8,358",42,"5804.34","5850.34",
"Sint Maarten",34,534,"1,261",,"42.39","42.88",96
Slovakia,48088,703,114,41,"5457.01","5459.64",54
Slovenia,20140,705,103,45,"2078.65","2078.93",55
"Solomon Islands",27990,90,25,20,"669.82","686.88",23
Somalia,627340,706,25,17,"15442.91","15893.22",47
"South Africa",1213090,710,49,28,"58558.27","59308.69",67
"South Korea",97230,410,527,44,"51225.32","51269.18",82
"South Sudan",610952,728,18,19,"11062.11","11193.73",25
"South-Eastern Asia",,920,,,"662011.85","668619.85",
"Southern Africa",,913,,,"66629.89","67503.65",
Spain,498800,724,94,45,"46736.78","46754.78",80
"Sri Lanka",62710,144,341,34,"21323.73","21413.25",18
"St. Vincent & the Grenadines",390,670,284,33,"110.59","110.95",53
"State of Palestine",6020,275,847,21,"4981.42","5101.42",80
Sudan,1765048,729,25,20,"42813.24","43849.27",35
Suriname,156000,740,4,29,"581.36","586.63",65
Sweden,410340,752,25,41,"10036.39","10099.27",88
Switzerland,39516,756,219,43,"8591.36","8654.62",74
Syria,183630,760,95,26,"17070.13","17500.66",60
Taiwan,35410,158,673,42,"23773.88","23816.78",79
Tajikistan,139960,762,68,22,"9321.02","9537.64",27
Tanzania,885800,834,67,18,"58005.46","59734.21",37
Thailand,510890,764,137,40,"69625.58","69799.98",51
"Timor-Leste",14870,626,89,21,"1293.12","1318.44",33
Togo,54390,768,152,19,"8082.36","8278.74",43
Tokelau,10,772,136,,"1.33","1.35",0
Tonga,720,776,147,22,"104.50","105.70",24
"Trinidad and Tobago",5130,780,273,36,"1394.97","1399.49",52
Tunisia,155360,788,76,33,"11694.72","11818.62",70
Turkey,769630,792,110,32,"83429.61","84339.07",76
Turkmenistan,469930,795,13,27,"5942.09","6031.19",53
"Turks and Caicos",950,796,41,,"38.19","38.72",89
Tuvalu,30,798,393,,"11.66","11.79",62
US,9147420,840,36,38,"329064.92","331002.65",83
Uganda,199810,800,229,17,"44269.59","45741.00",26
Ukraine,579320,804,75,41,"43993.64","43733.76",69
"United Arab Emirates",83600,784,118,33,"9770.53","9890.40",86
"United Kingdom",241930,826,281,40,"67530.16","67886.00",83
