peerURI,serverName,host,machine,"search_group","__mv_peerURI","__mv_serverName","__mv_host","__mv_machine","__mv_search_group"
localhost,"DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","dmc_group_indexer",,,,,
localhost,"DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","dmc_group_kv_store",,,,,
localhost,"DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","dmc_group_license_master",,,,,
localhost,"DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","DESKTOP-1RBTVB0","dmc_group_search_head",,,,,
